ImageNumber	ObjectNumber	Metadata_ChannelNumber	Metadata_FileLocation	Metadata_Frame	Metadata_Plate	Metadata_Series	Metadata_Site	Metadata_Well	Metadata_Well	AreaShape_Area	AreaShape_Center_X	AreaShape_Center_Y	AreaShape_Center_Z	AreaShape_Compactness	AreaShape_Eccentricity	AreaShape_EulerNumber	AreaShape_Extent	AreaShape_FormFactor	AreaShape_MajorAxisLength	AreaShape_MaxFeretDiameter	AreaShape_MaximumRadius	AreaShape_MeanRadius	AreaShape_MedianRadius	AreaShape_MinFeretDiameter	AreaShape_MinorAxisLength	AreaShape_Orientation	AreaShape_Perimeter	AreaShape_Solidity	Children_Cytoplasm_Norm_Count	Children_cytoplasm_nucplus_Count	Location_Center_X	Location_Center_Y	Location_Center_Z	Number_Object_Number	Parent_nuclei
1	21			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	7797	1016.0	773.0	1.0	1.0599098362147834	0.6903925405572094	1.0	0.6640265712825754	0.6452199561848858	117.34865604108472	116.45600027478189	40.311288741492746	15.305190754741313	13.601470508735444	82.84106228779473	84.89412017500145	-33.29712623730138	389.68599999999867	0.9525962125839953	1	0	1014.4813389765294	771.926766705143	0	21	21
1	22			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	9231	228.0	841.0	1.0	1.152341002755147	0.8093383489368781	1.0	0.7594405594405594	0.6410866492607007	141.67236424411013	142.28492541376264	40.44749683231337	15.719312527187395	14.142135623730951	83.35025946825036	83.21022768791126	1.4522936374722355	425.3739999999988	0.9627157532460761	1	0	235.64565052540354	838.6921243635576	0	22	22
1	23			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	8515	870.0	851.0	1.0	1.2425574574019356	0.8573429132280918	1.0	0.6706836798991809	0.5265623742208623	145.69136741931698	145.23085071705668	35.35533905932738	14.117143512282338	12.806248474865697	74.08303353662137	74.99400398197184	-20.98443165614242	450.78799999999876	0.9545429067877363	1	0	852.9545507927187	854.5300058719906	0	23	23
1	24			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	18189	1092.0	888.0	1.0	1.4619333012771767	0.871272298113344	1.0	0.5450867571698282	0.20912398439170493	233.12997709904528	241.5367466867102	42.20189569201838	12.877155441392595	10.295630140987	132.95348656282746	114.42017911353138	15.245825190685979	1045.4599999999957	0.7557337543626391	1	1	1089.905547308813	882.6381329374897	0	24	24
1	25			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	25384	967.0	1000.0	1.0	1.1395006847312383	0.784243240205488	1.0	0.7343207590835454	0.4965027862016777	230.15004678918228	241.66505746590673	75.8023746329889	27.84654064935736	24.515301344262525	148.0	142.79740104094844	11.897574406564425	801.5379999999973	0.9512816669165043	1	1	958.7772612669398	972.6436337850614	0	25	25
1	26			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	26241	291.0	954.0	1.0	1.4609177277502707	0.8791365794649807	1.0	0.6512060750446694	0.3338908337810908	281.4615841720517	304.89670381950674	53.0	19.948478844112508	18.384776310850235	134.39750192838468	134.13612051710936	-8.461669408199178	993.7859999999966	0.8587417164362268	1	1	272.1831103997561	972.6698677641858	0	26	26
1	27			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	20964	646.0	964.0	1.0	1.0424011895527807	0.5354730267511306	1.0	0.7523686477174849	0.49494532157290666	179.87539856598013	191.80198122021577	66.06814663663572	23.5118612838426	20.8806130178211	150.22609412892004	151.91418691677478	-68.48621290296336	729.5639999999977	0.9391841946105771	1	1	655.1564586910895	955.5896298416333	0	27	27
2	1			0	SG 40x Cap1-wt FGDF	0	10	A01	A01	12918	1122.0	68.0	1.0	1.0088529651638236	0.39664696854327774	1.0	0.7527533360526776	0.812445026223793	133.96498392785244	137.20058308913997	60.40695324215582	20.88165226727283	18.384776310850235	123.74368670764582	122.97600130943043	43.22499469505645	446.9979999999987	0.9761589904409265	1	0	1120.1005573618206	67.82319244465087	0	1	1
2	2			0	SG 40x Cap1-wt FGDF	0	10	A01	A01	18021	572.0	174.0	1.0	1.6449222014709521	0.9271747950130708	1.0	0.5504948680351907	0.28396475155265244	256.7558397305534	255.15681452785068	37.57658845611187	14.350178859729034	13.038404810405298	99.37888833777079	96.18818754368094	-72.4635293821923	893.0219999999971	0.8978625878132629	1	1	594.7715443094168	121.87242661339549	0	2	2
2	3			0	SG 40x Cap1-wt FGDF	0	10	A01	A01	22477	349.0	199.0	1.0	1.517607920836276	0.8598758097821732	1.0	0.3875344827586207	0.3526145250616939	261.95680849437963	270.6325922722539	46.8187996428785	17.413187862336642	15.524174696260024	174.1851358137701	133.72980812300074	51.37928372646672	895.0019999999962	0.7980188880210181	1	1	333.5568358766739	151.1021933532055	0	3	3
2	4			0	SG 40x Cap1-wt FGDF	0	10	A01	A01	8954	765.0	143.0	1.0	1.12893380537	0.7820606784938691	1.0	0.6694579439252336	0.4526372369821259	135.93346505171084	137.84411485442533	40.85339643163099	14.72438474839688	13.038404810405298	88.42776162805815	84.71404680519382	-55.10594855014535	498.5839999999987	0.9498753514029598	1	0	754.1512173330356	153.97822202367658	0	4	4
2	5			0	SG 40x Cap1-wt FGDF	0	10	A01	A01	33417	440.0	298.0	1.0	1.1276628563435307	0.6916967537280886	1.0	0.5903646385414458	0.6597352082782043	250.61022837736613	283.24018076537095	85.37564055396598	29.222242872459727	25.495097567963924	192.53496224713697	180.98771584095158	-74.97974424012737	797.817999999997	0.8996002315157554	1	1	442.41167669150434	289.9487386659485	0	5	5
2	6			0	SG 40x Cap1-wt FGDF	0	10	A01	A01	13353	792.0	348.0	1.0	1.169672942420557	0.7798144351325219	1.0	0.6847692307692308	0.5526869495180272	168.72831858762078	179.17868176767013	54.08326913195984	17.34033310436801	14.317821063276353	111.97428892076228	105.62573960003951	-30.898848221875316	551.0039999999983	0.9399218667511352	1	1	780.589680221673	351.1526997678424	0	6	6
2	7			0	SG 40x Cap1-wt FGDF	0	10	A01	A01	11630	1197.0	361.0	1.0	1.027183856796659	0.6064135494367987	1.0	0.7774064171122995	0.80900351516821	136.28089442939367	135.94484175576505	53.150729063673246	19.65307553596874	17.46424919657298	108.5057791529513	108.36367475674894	-88.01942684553558	425.02999999999895	0.9795746472941672	1	0	1197.3459157351676	366.1345657781599	0	7	7
2	8			0	SG 40x Cap1-wt FGDF	0	10	A01	A01	44973	192.0	466.0	1.0	1.1613779459472413	0.7687329084310219	1.0	0.7042877724880983	0.5985728071179036	306.57669629927227	314.2117120668802	88.86506625215557	33.07213254100211	29.427877939124322	204.9741735844054	196.0772410175893	85.46681135351267	971.6779999999972	0.9012715558272125	1	1	187.07633468970272	467.30069152602675	0	8	8
2	9			0	SG 40x Cap1-wt FGDF	0	10	A01	A01	11418	825.0	528.0	1.0	1.0154226759942084	0.4693875774609076	1.0	0.7506903353057199	0.8396795727910054	128.5791822287932	129.46814279968643	54.230987451824994	19.454614373075323	17.23366351785866	112.44804719859431	113.53442058681684	0.3557275954063527	413.3739999999989	0.9738996929375642	1	0	818.8586442459275	528.740760203188	0	9	9
2	10			0	SG 40x Cap1-wt FGDF	0	10	A01	A01	36839	430.0	545.0	1.0	1.1130088265899407	0.7037938615941045	1.0	0.6950754716981132	0.6467858998665978	262.8714320862839	292.3302926485724	86.09297300012354	30.293411282641383	27.0	206.58983410243758	186.7449829211259	-32.918576806257185	846.0159999999975	0.9216086059165675	1	1	426.1996796872879	538.8633241944679	0	10	10
2	11			0	SG 40x Cap1-wt FGDF	0	10	A01	A01	9080	572.0	648.0	1.0	1.0645247856244269	0.6334269071115679	1.0	0.7250079846694347	0.6613473866760747	123.87407188780159	127.20062892926276	43.174066289845804	15.79025118877545	14.142135623730951	98.84253210964475	95.85407006110795	-78.25505447150155	415.36799999999903	0.9537314216690304	1	1	569.5088105726873	642.1552863436124	0	11	11
2	12			0	SG 40x Cap1-wt FGDF	0	10	A01	A01	11175	192.0	697.0	1.0	1.2596049983358824	0.8377511699450725	1.0	0.6230486173059768	0.6460086536394125	165.86469955308502	167.7647161950331	45.65084884205331	16.343530053069284	14.7648230602334	94.09038831003379	90.57077986063533	60.58966010856769	466.2399999999983	0.9285417532197756	1	1	180.234451901566	687.4650559284116	0	12	12
