ImageNumber	ObjectNumber	Metadata_ChannelNumber	Metadata_FileLocation	Metadata_Frame	Metadata_Plate	Metadata_Series	Metadata_Site	Metadata_Well	Metadata_Well	AreaShape_Area	AreaShape_Center_X	AreaShape_Center_Y	AreaShape_Center_Z	AreaShape_Perimeter	AreaShape_Solidity	Children_CaprinSG_Count	Children_SG_Count	Intensity_IntegratedIntensity_G3BP	Intensity_IntegratedIntensity_GFP	Intensity_MeanIntensity_G3BP	Intensity_MeanIntensity_GFP	Intensity_MedianIntensity_G3BP	Intensity_MedianIntensity_GFP	Intensity_StdIntensity_GFP	Location_CenterMassIntensity_X_G3BP	Location_CenterMassIntensity_X_GFP	Location_CenterMassIntensity_Y_G3BP	Location_CenterMassIntensity_Y_GFP	Location_CenterMassIntensity_Z_G3BP	Location_CenterMassIntensity_Z_GFP	Location_Center_X	Location_Center_Y	Location_MaxIntensity_X_G3BP	Location_MaxIntensity_X_GFP	Location_MaxIntensity_Y_G3BP	Location_MaxIntensity_Y_GFP	Location_MaxIntensity_Z_G3BP	Location_MaxIntensity_Z_GFP	Mean_CaprinSG_Distance_Centroid_Cytoplasm_Norm	Mean_CaprinSG_Distance_Minimum_Cytoplasm_Norm	Mean_CaprinSG_Location_Center_X	Mean_CaprinSG_Location_Center_Y	Mean_CaprinSG_Number_Object_Number	Number_Object_Number
3	1			0	SG 40x Cap1-wt FGDF	0	11	A01	A01	10786	393.0	77.0	1.0	1152.0139999999958	0.47205566983237784	0	0	16.624429690185934	13.711802850244567	0.001541297023010007	0.0012712593037497281	0.001541161211207509	0.0012664988171309233	3.8317701823004334e-05	375.0398051551104	375.1788086618896	128.07559280465395	127.15366964054203	0.0	0.0	375.2504172074912	127.14528091971074	364.0	455.0	210.0	137.0	0.0	0.0						1
3	2			0	SG 40x Cap1-wt FGDF	0	11	A01	A01	12668	269.0	208.0	1.0	1209.1919999999952	0.511321897073663	0	0	19.985854882048443	16.57650110241957	0.0015776645786271268	0.0013085333993068811	0.00158693827688694	0.0012970168609172106	7.380928712405134e-05	244.651619784497	244.284673965173	159.44441365030428	160.19425576315356	0.0	0.0	244.08209662140828	159.03623302810232	304.0	225.0	104.0	218.0	0.0	0.0						2
3	3			0	SG 40x Cap1-wt FGDF	0	11	A01	A01	22407	122.0	336.0	1.0	1072.3259999999957	0.6889903602232368	0	1	34.37549400283024	32.0467841536738	0.0015341408489681903	0.0014302130652775382	0.0015259021893143654	0.0014038300141692162	0.00014668111213381844	149.32452843086685	148.86702892029564	280.7706660783612	281.1977453425554	0.0	0.0	148.28317043780962	280.4052305083233	117.0	115.0	303.0	299.0	0.0	0.0						3
3	4			0	SG 40x Cap1-wt FGDF	0	11	A01	A01	399	784.0	300.0	1.0	674.7679999999979	0.052081973632685026	0	0	0.5373464559670538	0.4920881970319897	0.0013467329723485058	0.001233303751959874	0.0013427939265966415	0.001235980773344636	3.353992953337695e-05	747.479312792844	747.9863871747962	328.40235695016327	327.9907904121058	0.0	0.0	747.9273182957394	327.8872180451128	712.0	771.0	346.0	369.0	0.0	0.0						4
3	5			0	SG 40x Cap1-wt FGDF	0	11	A01	A01	27883	1145.0	325.0	1.0	1246.605999999995	0.6855407764364566	0	2	42.39600212639198	37.89669641293585	0.0015204964360503524	0.001359132676287912	0.001495384145528078	0.0013427939265966415	8.944300116666444e-05	1097.3403849379251	1097.3159778704762	394.3430529991484	393.7643358726989	0.0	0.0	1097.085177348205	394.0568805365276	1081.0	1141.0	474.0	338.0	0.0	0.0						5
3	6			0	SG 40x Cap1-wt FGDF	0	11	A01	A01	544	1233.0	424.0	1.0	921.779999999997	0.0509029662206419	0	0	0.7784390018787235	0.6666208894457668	0.001430954047571183	0.0012254060467753066	0.0014343480579555035	0.0012207217514514923	3.4492829632747505e-05	1269.7804371263353	1269.1090484583515	448.63187297853574	448.1895071760478	0.0	0.0	1269.1654411764705	448.1709558823529	1273.0	1256.0	385.0	392.0	0.0	0.0						6
3	7			0	SG 40x Cap1-wt FGDF	0	11	A01	A01	35341	938.0	675.0	1.0	1576.0319999999945	0.683631228721758	0	0	53.604501398978755	47.896589597454295	0.0015167794176446268	0.0013552697885587362	0.0015106431674212217	0.0013427939265966415	8.485975773756431e-05	916.1262620727583	915.8232127593621	602.6952773023177	601.3389362461982	0.0	0.0	916.6122633768144	602.6721654735293	851.0	848.0	473.0	461.0	0.0	0.0						7
3	8			0	SG 40x Cap1-wt FGDF	0	11	A01	A01	2658	326.0	686.0	1.0	903.3719999999967	0.19635074240969194	0	0	4.570138093084097	3.393865872407332	0.0017193898017622638	0.0012768494629071979	0.0017395284958183765	0.001281757839024067	4.350670668400227e-05	330.55876716170735	331.29116929011724	672.9923673807361	671.7160423888462	0.0	0.0	331.48118886380735	671.4687735139203	331.0	345.0	698.0	689.0	0.0	0.0						8
3	9			0	SG 40x Cap1-wt FGDF	0	11	A01	A01	539	25.0	627.0	1.0	884.2059999999963	0.03934593765968319	0	0	0.8621347369626164	0.6649881741032004	0.001599507860784075	0.0012337442933269024	0.0015716792549937963	0.001235980773344636	4.035242556441841e-05	81.9150796460177	83.9114731528224	647.2631858407079	648.6740706746214	0.0	0.0	84.34508348794063	648.4137291280149	19.0	25.0	642.0	680.0	0.0	0.0						9
3	10			0	SG 40x Cap1-wt FGDF	0	11	A01	A01	466	1272.0	695.0	1.0	751.6139999999968	0.054426535856108384	0	0	0.6934767679776996	0.5704432744532824	0.0014881475707675957	0.0012241271983976017	0.0014801251236349344	0.0012207217514514923	3.5376867266137e-05	1213.84634849385	1213.373127541194	723.0983563271503	722.4777444896213	0.0	0.0	1213.3798283261804	722.3004291845493	1155.0	1165.0	760.0	769.0	0.0	0.0						10
